Payer,Recipent,Trans
cz,cl,0
cz,cn,0
cz,cr,0
cz,cz,0
cz,eg,0
cz,fr,13148
cz,ge,0
cz,gr,0
cz,hk,0
cz,id,0
cz,in,0
cz,ir,0
cz,it,0
cz,ja,0
cz,ko,0
cz,ma,0
cz,me,0
cz,ne,0
cz,nz,0
cz,pe,0
cz,ph,0
cz,pl,0
cz,po,0
cz,pk,0
cz,ru,0
cz,sa,0
cz,si,0
cz,sp,0
cz,sr,0
cz,th,0
cz,tw,0
cz,ua,0
cz,uk,14775
cz,us,0
cz,vn,0
eg,as,0
eg,au,0
eg,be,0
eg,br,0
eg,ch,0
eg,cl,0
eg,cn,0
eg,cr,0
eg,cz,0
eg,eg,0
eg,fr,0
eg,ge,0
eg,gr,0
eg,hk,0
eg,id,0
eg,in,0
eg,ir,0
eg,it,0
eg,ja,0
eg,ko,0
eg,ma,0
eg,me,0
eg,ne,0
eg,nz,0
eg,pe,0
eg,ph,0
eg,pl,0
eg,po,0
eg,pk,0
eg,ru,0
eg,sa,0
eg,si,0
eg,sp,0
eg,sr,0
eg,th,0
eg,tw,0
eg,ua,0
eg,uk,196874
eg,us,0
eg,vn,0
fr,as,0
fr,au,0
fr,be,0
fr,br,0
fr,ch,0
fr,cl,0
fr,cn,0
fr,cr,0
fr,cz,0
fr,eg,0
fr,fr,0
fr,ge,5393
fr,gr,0
fr,hk,0
fr,id,0
fr,in,0
fr,ir,0
fr,it,0
fr,ja,0
fr,ko,0
fr,ma,0
fr,me,0
fr,ne,0
fr,nz,0
fr,pe,0
fr,ph,0
fr,pl,0
fr,po,0
fr,pk,0
fr,ru,0
fr,sa,0
fr,si,0
fr,sp,0
fr,sr,0
fr,th,0
fr,tw,0
fr,ua,0
fr,uk,1048214
fr,us,0
fr,vn,0
ge,as,1680
ge,au,40812
ge,be,0
ge,br,0
ge,ch,0
ge,cl,0
ge,cn,0
ge,cr,0
ge,cz,0
ge,eg,0
ge,fr,0
ge,ge,0
ge,gr,0
ge,hk,0
ge,id,6321
ge,in,0
ge,ir,0
ge,it,0
ge,ja,0
ge,ko,44188
ge,ma,52144
ge,me,0
ge,ne,0
ge,nz,5438
ge,pe,0
ge,ph,15367
ge,pl,0
ge,po,0
ge,pk,0
ge,ru,0
ge,sa,0
ge,si,15752
ge,sp,0
ge,sr,0
ge,th,2584
ge,tw,0
ge,ua,0
ge,uk,794511
ge,us,587298
ge,vn,2291
gr,as,0
gr,au,0
gr,be,0
gr,br,0
gr,ch,0
gr,cl,0
gr,cn,0
gr,cr,0
gr,cz,0
gr,eg,0
gr,fr,0
gr,ge,0
gr,gr,0
gr,hk,0
gr,id,0
gr,in,0
gr,ir,0
gr,it,0
gr,ja,0
gr,ko,0
gr,ma,0
gr,me,0
gr,ne,0
gr,nz,0
gr,pe,0
gr,ph,0
gr,pl,0
gr,po,0
gr,pk,0
gr,ru,0
gr,sa,0
gr,si,0
gr,sp,0
gr,sr,0
gr,th,0
gr,tw,0
gr,ua,0
gr,uk,38612
gr,us,0
gr,vn,0
hk,as,0
hk,au,0
hk,be,0
hk,br,0
hk,ch,952
hk,cl,0
hk,cn,0
hk,cr,0
hk,cz,0
hk,eg,0
hk,fr,0
hk,ge,0
hk,gr,0
hk,hk,0
hk,id,0
hk,in,0
hk,ir,0
hk,it,0
hk,ja,0
hk,ko,0
hk,ma,0
hk,me,0
hk,ne,0
hk,nz,0
hk,pe,0
hk,ph,0
hk,pl,0
hk,po,0
hk,pk,0
hk,ru,0
hk,sa,0
hk,si,122853
hk,sp,0
hk,sr,0
hk,th,0
hk,tw,0
hk,ua,0
hk,uk,11662
hk,us,0
hk,vn,0
id,as,0
id,au,0
id,be,0
id,br,0
id,ch,0
id,cl,0
id,cn,0
id,cr,0
id,cz,0
id,eg,0
id,fr,0
id,ge,0
id,gr,0
id,hk,0
id,id,0
id,in,0
id,ir,0
id,it,0
id,ja,0
id,ko,0
id,ma,0
id,me,0
id,ne,0
id,nz,0
id,pe,0
id,ph,0
id,pl,0
id,po,0
id,pk,0
id,ru,0
id,sa,0
id,si,93580
id,sp,0
id,sr,0
id,th,0
id,tw,0
id,ua,0
id,uk,4055
id,us,0
id,vn,0
in,as,0
in,au,0
in,be,0
in,br,0
in,ch,0
in,cl,0
in,cn,0
in,cr,0
in,cz,0
in,eg,0
in,fr,0
in,ge,0
in,gr,0
in,hk,0
in,id,0
in,in,0
in,ir,0
in,it,0
in,ja,0
in,ko,0
in,ma,0
in,me,0
in,ne,0
in,nz,0
in,pe,0
in,ph,0
in,pl,0
in,po,0
in,pk,0
in,ru,0
in,sa,0
in,si,170985
in,sp,0
in,sr,0
in,th,0
in,tw,0
in,ua,0
in,uk,0
in,us,0
in,vn,0
ir,as,0
ir,au,0
ir,be,0
ir,br,0
ir,ch,0
ir,cl,0
ir,cn,0
ir,cr,0
ir,cz,0
ir,eg,0
ir,fr,0
ir,ge,0
ir,gr,0
ir,hk,0
ir,id,0
ir,in,0
ir,ir,0
ir,it,0
ir,ja,0
ir,ko,0
ir,ma,0
ir,me,0
ir,ne,0
ir,nz,0
ir,pe,0
ir,ph,0
ir,pl,0
ir,po,0
ir,pk,0
ir,ru,0
ir,sa,0
ir,si,0
ir,sp,0
ir,sr,0
ir,th,0
ir,tw,0
ir,ua,0
ir,uk,209499
ir,us,0
ir,vn,0
it,as,0
it,au,0
it,be,0
it,br,0
it,ch,0
it,cl,0
it,cn,0
it,cr,0
it,cz,0
it,eg,0
it,fr,10938
it,ge,6277
it,gr,0
it,hk,0
it,id,0
it,in,0
it,ir,0
it,it,0
it,ja,0
it,ko,0
it,ma,0
it,me,0
it,ne,0
it,nz,0
it,pe,0
it,ph,0
it,pl,0
it,po,0
it,pk,0
it,ru,0
it,sa,0
it,si,0
it,sp,0
it,sr,0
it,th,0
it,tw,0
it,ua,0
it,uk,155714
it,us,4028
it,vn,0
ja,as,0
ja,au,0
ja,be,0
ja,br,0
ja,ch,0
ja,cl,0
ja,cn,0
ja,cr,0
ja,cz,0
ja,eg,0
ja,fr,0
ja,ge,0
ja,gr,0
ja,hk,0
ja,id,0
ja,in,0
ja,ir,0
ja,it,0
ja,ja,0
ja,ko,0
ja,ma,0
ja,me,0
ja,ne,0
ja,nz,0
ja,pe,0
ja,ph,0
ja,pl,0
ja,po,0
ja,pk,0
ja,ru,0
ja,sa,0
ja,si,1678409
ja,sp,0
ja,sr,0
ja,th,0
ja,tw,0
ja,ua,0
ja,uk,78723
ja,us,0
ja,vn,0
ko,as,0
ko,au,0
ko,be,0
ko,br,0
ko,ch,0
ko,cl,0
ko,cn,0
ko,cr,0
ko,cz,0
ko,eg,0
ko,fr,0
ko,ge,0
ko,gr,0
ko,hk,0
ko,id,0
ko,in,0
ko,ir,0
ko,it,0
ko,ja,0
ko,ko,0
ko,ma,0
ko,me,0
ko,ne,0
ko,nz,0
ko,pe,0
ko,ph,0
ko,pl,0
ko,po,0
ko,pk,0
ko,ru,0
ko,sa,0
ko,si,541204
ko,sp,0
ko,sr,0
ko,th,0
ko,tw,0
ko,ua,0
ko,uk,31337
ko,us,0
ko,vn,0
ma,as,0
ma,au,0
ma,be,0
ma,br,0
ma,ch,0
ma,cl,0
ma,cn,0
ma,cr,0
ma,cz,0
ma,eg,0
ma,fr,0
ma,ge,0
ma,gr,0
ma,hk,0
ma,id,0
ma,in,0
ma,ir,0
ma,it,0
ma,ja,0
ma,ko,0
ma,ma,0
ma,me,0
ma,ne,0
ma,nz,0
ma,pe,0
ma,ph,0
ma,pl,0
ma,po,0
ma,pk,0
ma,ru,0
ma,sa,0
ma,si,157027
ma,sp,0
ma,sr,0
ma,th,0
ma,tw,0
ma,ua,0
ma,uk,0
ma,us,0
ma,vn,0
me,as,0
me,au,0
me,be,0
me,br,0
me,ch,0
me,cl,0
me,cn,0
me,cr,0
me,cz,0
me,eg,0
me,fr,11544
me,ge,0
me,gr,0
me,hk,0
me,id,0
me,in,0
me,ir,0
me,it,0
me,ja,0
me,ko,0
me,ma,0
me,me,0
me,ne,0
me,nz,0
me,pe,0
me,ph,0
me,pl,0
me,po,0
me,pk,0
me,ru,0
me,sa,0
me,si,0
me,sp,0
me,sr,0
me,th,0
me,tw,0
me,ua,0
me,uk,114577
me,us,212441
me,vn,0
ne,as,0
ne,au,0
ne,be,0
ne,br,0
ne,ch,0
ne,cl,0
ne,cn,0
ne,cr,0
ne,cz,0
ne,eg,0
ne,fr,0
ne,ge,0
ne,gr,0
ne,hk,0
ne,id,0
ne,in,0
ne,ir,0
ne,it,0
ne,ja,0
ne,ko,0
ne,ma,0
ne,me,0
ne,ne,0
ne,nz,0
ne,pe,0
ne,ph,0
ne,pl,0
ne,po,0
ne,pk,0
ne,ru,0
ne,sa,0
ne,si,0
ne,sp,0
ne,sr,0
ne,th,0
ne,tw,0
ne,ua,0
ne,uk,117
ne,us,0
ne,vn,0
nz,as,0
nz,au,0
nz,be,0
nz,br,0
nz,ch,0
nz,cl,0
nz,cn,0
nz,cr,0
nz,cz,0
nz,eg,0
nz,fr,0
nz,ge,0
nz,gr,0
nz,hk,0
nz,id,0
nz,in,0
nz,ir,0
nz,it,0
nz,ja,0
nz,ko,0
nz,ma,0
nz,me,0
nz,ne,0
nz,nz,0
nz,pe,0
nz,ph,0
nz,pl,0
nz,po,0
nz,pk,0
nz,ru,0
nz,sa,0
nz,si,0
nz,sp,0
nz,sr,0
nz,th,0
nz,tw,0
nz,ua,0
nz,uk,27354
nz,us,0
nz,vn,0
pe,as,0
pe,au,0
pe,be,0
pe,br,0
pe,ch,0
pe,cl,0
pe,cn,0
pe,cr,0
pe,cz,0
pe,eg,0
pe,fr,0
pe,ge,0
pe,gr,0
pe,hk,0
pe,id,0
pe,in,0
pe,ir,0
pe,it,0
pe,ja,0
pe,ko,0
pe,ma,0
pe,me,0
pe,ne,0
pe,nz,0
pe,pe,0
pe,ph,0
pe,pl,0
pe,po,0
pe,pk,0
pe,ru,0
pe,sa,0
pe,si,0
pe,sp,0
pe,sr,0
pe,th,0
pe,tw,0
pe,ua,0
pe,uk,0
pe,us,218301
pe,vn,0
ph,as,0
ph,au,0
ph,be,0
ph,br,0
ph,ch,0
ph,cl,0
ph,cn,0
ph,cr,0
ph,cz,0
ph,eg,0
ph,fr,0
ph,ge,0
ph,gr,0
ph,hk,0
ph,id,0
ph,in,0
ph,ir,0
ph,it,0
ph,ja,0
ph,ko,0
ph,ma,0
ph,me,0
ph,ne,0
ph,nz,0
ph,pe,0
ph,ph,0
ph,pl,0
ph,po,0
ph,pk,0
ph,ru,0
ph,sa,0
ph,si,196300
ph,sp,0
ph,sr,0
ph,th,0
ph,tw,0
ph,ua,0
ph,uk,0
ph,us,0
ph,vn,0
pl,as,0
pl,au,0
pl,be,0
pl,br,0
pl,ch,0
pl,cl,0
pl,cn,0
pl,cr,0
pl,cz,0
pl,eg,0
pl,fr,0
pl,ge,0
pl,gr,0
pl,hk,0
pl,id,0
pl,in,0
pl,ir,0
pl,it,0
pl,ja,0
pl,ko,0
pl,ma,0
pl,me,0
pl,ne,0
pl,nz,0
pl,pe,0
pl,ph,0
pl,pl,0
pl,po,0
pl,pk,0
pl,ru,0
pl,sa,0
pl,si,0
pl,sp,0
pl,sr,0
pl,th,0
pl,tw,0
pl,ua,0
pl,uk,65210
pl,us,0
pl,vn,0
po,as,0
po,au,0
po,be,0
po,br,0
po,ch,0
po,cl,0
po,cn,0
po,cr,0
po,cz,0
po,eg,0
po,fr,0
po,ge,2178
po,gr,0
po,hk,0
po,id,0
po,in,0
po,ir,0
po,it,0
po,ja,0
po,ko,0
po,ma,0
po,me,0
po,ne,0
po,nz,0
po,pe,0
po,ph,0
po,pl,0
po,po,0
po,pk,0
po,ru,0
po,sa,0
po,si,0
po,sp,0
po,sr,0
po,th,0
po,tw,0
po,ua,0
po,uk,28241
po,us,0
po,vn,0
pk,as,0
pk,au,0
pk,be,0
pk,br,0
pk,ch,0
pk,cl,0
pk,cn,0
pk,cr,0
pk,cz,0
pk,eg,0
pk,fr,0
pk,ge,0
pk,gr,0
pk,hk,0
pk,id,0
pk,in,0
pk,ir,0
pk,it,0
pk,ja,0
pk,ko,0
pk,ma,0
pk,me,0
pk,ne,0
pk,nz,0
pk,pe,0
pk,ph,0
pk,pl,0
pk,po,0
pk,pk,0
pk,ru,0
pk,sa,0
pk,si,0
pk,sp,0
pk,sr,0
pk,th,0
pk,tw,0
pk,ua,0
pk,uk,0
pk,us,0
pk,vn,0
ru,as,0
ru,au,0
ru,be,0
ru,br,0
ru,ch,0
ru,cl,0
ru,cn,0
ru,cr,0
ru,cz,0
ru,eg,0
ru,fr,18363
ru,ge,0
ru,gr,0
ru,hk,0
ru,id,0
ru,in,0
ru,ir,0
ru,it,0
ru,ja,0
ru,ko,0
ru,ma,0
ru,me,0
ru,ne,0
ru,nz,0
ru,pe,0
ru,ph,0
ru,pl,0
ru,po,0
ru,pk,0
ru,ru,0
ru,sa,0
ru,si,0
ru,sp,0
ru,sr,0
ru,th,0
ru,tw,0
ru,ua,0
ru,uk,2143026
ru,us,0
ru,vn,0
sa,as,0
sa,au,0
sa,be,0
sa,br,0
sa,ch,0
sa,cl,0
sa,cn,0
sa,cr,0
sa,cz,0
sa,eg,0
sa,fr,0
sa,ge,0
sa,gr,0
sa,hk,0
sa,id,0
sa,in,0
sa,ir,0
sa,it,0
sa,ja,0
sa,ko,0
sa,ma,0
sa,me,0
sa,ne,0
sa,nz,0
sa,pe,0
sa,ph,0
sa,pl,0
sa,po,0
sa,pk,0
sa,ru,0
sa,sa,0
sa,si,0
sa,sp,0
sa,sr,0
sa,th,0
sa,tw,0
sa,ua,0
sa,uk,89577
sa,us,0
sa,vn,0
si,as,0
si,au,0
si,be,0
si,br,0
si,ch,0
si,cl,0
si,cn,0
si,cr,0
si,cz,0
si,eg,0
si,fr,9439
si,ge,0
si,gr,0
si,hk,0
si,id,0
si,in,0
si,ir,0
si,it,0
si,ja,0
si,ko,0
si,ma,0
si,me,0
si,ne,0
si,nz,0
si,pe,0
si,ph,0
si,pl,0
si,po,0
si,pk,0
si,ru,0
si,sa,0
si,si,87031
si,sp,0
si,sr,0
si,th,0
si,tw,0
si,ua,0
si,uk,147786
si,us,0
si,vn,0
sp,as,0
sp,au,0
sp,be,0
sp,br,0
sp,ch,0
sp,cl,0
sp,cn,0
sp,cr,0
sp,cz,0
sp,eg,0
sp,fr,23620
sp,ge,4462
sp,gr,0
sp,hk,0
sp,id,0
sp,in,0
sp,ir,0
sp,it,0
sp,ja,0
sp,ko,0
sp,ma,0
sp,me,0
sp,ne,0
sp,nz,0
sp,pe,0
sp,ph,0
sp,pl,0
sp,po,0
sp,pk,0
sp,ru,0
sp,sa,0
sp,si,0
sp,sp,0
sp,sr,0
sp,th,0
sp,tw,0
sp,ua,0
sp,uk,155328
sp,us,3600
sp,vn,0
sr,as,0
sr,au,0
sr,be,0
sr,br,0
sr,ch,0
sr,cl,0
sr,cn,0
sr,cr,0
sr,cz,0
sr,eg,0
sr,fr,0
sr,ge,0
sr,gr,0
sr,hk,0
sr,id,0
sr,in,0
sr,ir,0
sr,it,0
sr,ja,0
sr,ko,0
sr,ma,0
sr,me,0
sr,ne,0
sr,nz,0
sr,pe,0
sr,ph,0
sr,pl,0
sr,po,0
sr,pk,0
sr,ru,0
sr,sa,0
sr,si,0
sr,sp,0
sr,sr,0
sr,th,0
sr,tw,0
sr,ua,0
sr,uk,89762
sr,us,40005
sr,vn,0
th,as,0
th,au,0
th,be,0
th,br,0
th,ch,0
th,cl,0
th,cn,0
th,cr,0
th,cz,0
th,eg,0
th,fr,0
th,ge,0
th,gr,0
th,hk,0
th,id,0
th,in,0
th,ir,0
th,it,0
th,ja,0
th,ko,0
th,ma,0
th,me,0
th,ne,0
th,nz,0
th,pe,0
th,ph,0
th,pl,0
th,po,0
th,pk,0
th,ru,0
th,sa,0
th,si,234709
th,sp,0
th,sr,0
th,th,0
th,tw,0
th,ua,0
th,uk,20923
th,us,0
th,vn,0
tw,as,0
tw,au,0
tw,be,0
tw,br,0
tw,ch,0
tw,cl,0
tw,cn,0
tw,cr,0
tw,cz,0
tw,eg,0
tw,fr,0
tw,ge,0
tw,gr,0
tw,hk,0
tw,id,0
tw,in,0
tw,ir,0
tw,it,0
tw,ja,0
tw,ko,0
tw,ma,0
tw,me,0
tw,ne,0
tw,nz,0
tw,pe,0
tw,ph,0
tw,pl,0
tw,po,0
tw,pk,0
tw,ru,0
tw,sa,0
tw,si,144215
tw,sp,0
tw,sr,0
tw,th,0
tw,tw,0
tw,ua,0
tw,uk,0
tw,us,0
tw,vn,0
ua,as,0
ua,au,0
ua,be,0
ua,br,0
ua,ch,0
ua,cl,0
ua,cn,0
ua,cr,0
ua,cz,0
ua,eg,0
ua,fr,12226
ua,ge,0
ua,gr,0
ua,hk,0
ua,id,0
ua,in,0
ua,ir,0
ua,it,0
ua,ja,0
ua,ko,0
ua,ma,0
ua,me,0
ua,ne,0
ua,nz,0
ua,pe,0
ua,ph,0
ua,pl,0
ua,po,0
ua,pk,0
ua,ru,0
ua,sa,0
ua,si,0
ua,sp,0
ua,sr,0
ua,th,0
ua,tw,0
ua,ua,0
ua,uk,554107
ua,us,0
ua,vn,0
uk,as,0
uk,au,0
uk,be,0
uk,br,0
uk,ch,0
uk,cl,0
uk,cn,0
uk,cr,0
uk,cz,0
uk,eg,0
uk,fr,0
uk,ge,0
uk,gr,0
uk,hk,26414
uk,id,0
uk,in,0
uk,ir,0
uk,it,0
uk,ja,10762
uk,ko,0
uk,ma,2463
uk,me,0
uk,ne,20657
uk,nz,0
uk,pe,4380
uk,ph,1332
uk,pl,0
uk,po,0
uk,pk,0
uk,ru,0
uk,sa,35042
uk,si,0
uk,sp,0
uk,sr,0
uk,th,792
uk,tw,0
uk,ua,0
uk,uk,956968
uk,us,2011935
uk,vn,0
us,as,0
us,au,0
us,be,0
us,br,0
us,ch,0
us,cl,0
us,cn,0
us,cr,0
us,cz,0
us,eg,96529
us,fr,185031
us,ge,0
us,gr,0
us,hk,0
us,id,0
us,in,0
us,ir,0
us,it,0
us,ja,0
us,ko,0
us,ma,0
us,me,0
us,ne,0
us,nz,0
us,pe,0
us,ph,0
us,pl,0
us,po,0
us,pk,24470
us,ru,0
us,sa,0
us,si,0
us,sp,0
us,sr,0
us,th,0
us,tw,0
us,ua,141524
us,uk,2407744
us,us,44870514
us,vn,0
vn,as,0
vn,au,0
vn,be,0
vn,br,0
vn,ch,0
vn,cl,0
vn,cn,0
vn,cr,0
vn,cz,0
vn,eg,0
vn,fr,0
vn,ge,0
vn,gr,0
vn,hk,0
vn,id,0
vn,in,0
vn,ir,0
vn,it,0
vn,ja,0
vn,ko,0
vn,ma,0
vn,me,0
vn,ne,0
vn,nz,0
vn,pe,0
vn,ph,0
vn,pl,0
vn,po,0
vn,pk,0
vn,ru,0
vn,sa,0
vn,si,49111
vn,sp,0
vn,sr,0
vn,th,0
vn,tw,0
vn,ua,0
vn,uk,0
vn,us,0
vn,vn,0
